,x,y,Smiles,MAE
0,-44.245647,-21.548141,C,2578.6274
1,16.872414,-6.330368,[C]#C,2.1908321
2,17.55319,-6.0419054,C#C,2.7080941
3,50.989166,17.758265,[C]=C,1.8269665
4,46.1739,16.012959,C#N,5.0181265
5,58.39261,16.12489,C=C,119.23154
6,57.072224,18.317303,C=O,3.7071838
7,55.236225,18.629389,CN,100.3454
8,58.699867,15.552085,CO,18.679255
9,54.529366,19.096783,P,0.9616468
10,16.205414,32.19476,S,0.30674326
11,36.018982,35.269733,[CH2+]C#[C-],1.5874536
12,33.568375,32.75871,C=C=C,5.93108
13,30.068054,34.538563,CC#C,6.109874
14,37.768055,34.084064,CC#N,8.302363
15,34.334667,31.615318,OC#C,4.9912996
16,36.018757,32.23453,CC=C,61.910248
17,34.186104,31.31397,C[C]C,8.302171
18,26.441097,35.938198,C1CN1,50.923286
19,34.58555,34.624985,OC=C,10.000032
20,31.48872,34.54526,NC=N,8.020243
21,24.797268,41.913456,C[N]C,3.6136653
22,26.025112,34.857323,CCC,350.85825
23,25.721199,36.095287,CN=O,8.068841
24,25.664349,33.819836,NC=O,5.841262
25,24.735527,37.69987,ON=C,2.107224
26,21.97697,41.63961,CCN,60.061028
27,23.655857,41.8461,CNC,48.164505
28,24.162075,38.018932,OC=O,1.0025227
29,20.287327,41.44029,FC=C,7.7207394
30,19.30707,41.644394,CCO,31.336395
31,20.806627,43.94252,CNN,14.942961
32,20.512716,42.743362,CON,3.2142372
33,19.773275,44.17295,NCO,42.9375
34,22.519201,44.745266,COO,4.0948095
35,31.911093,30.748438,OCO,17.042683
36,32.93585,34.580917,CS,3.721507
37,13.216822,32.61165,C=CC#N,9.244208
38,17.180815,38.473564,O=CC#C,0.382308
39,19.336647,40.481186,C=CC=C,4.0881653
40,8.066959,-9.547185,CCC#N,6.844614
41,30.888664,47.627525,NCC#C,7.53092
42,48.379314,37.231647,C=CN=C,9.84598
43,44.68749,37.961014,NCC#N,7.1805515
44,9.109206,-11.109081,C=NN=C,33.91723
45,21.240345,-19.510296,C1C[N]C1,26.135803
46,-10.497368,-16.083158,CC=CC,240.396
47,12.442641,33.328556,CCC=C,242.46638
48,7.622213,-0.67021495,CN=C=O,6.6309166
49,22.247581,-17.73875,OCC#N,9.585015
50,22.413582,-17.14851,NCC=C,47.911972
51,-4.915258,-42.831398,CCC=N,21.831032
52,-6.677327,-43.490036,C1CNC1,178.21527
53,63.01979,18.56181,[O]C([O])=C,1.3950398
54,18.84552,13.226169,CC(C)=O,4.533243
55,9.778085,-3.256515,OCC=C,56.479507
56,-17.381779,-23.565481,COC=C,6.610838
57,9.23921,-0.36175826,CC(N)=N,3.5731916
58,6.4408836,-35.82006,NCC=O,14.272516
59,10.480472,-4.6715155,CC(N)=O,6.2065077
60,-0.6507929,-10.553125,C\C=N\O,4.8797827
61,-39.237,-19.124454,CNC=O,4.7426605
62,13.042565,-16.09929,CN=NN,8.212978
63,14.625357,-15.044229,CN(C)C,14.542746
64,3.8818505,-11.89783,CC(O)=O,4.4826546
65,-11.67138,-8.711985,OCC=O,1.322093
66,-11.861346,-9.380946,COC=O,2.276865
67,-6.9066477,-24.408266,C1COO1,8.229629
68,-11.367861,-4.4311666,CN=NO,6.715583
69,-15.524392,-6.999288,NNC=O,1.5707278
70,-16.25967,-7.702643,NCCN,26.277401
71,-11.491039,-16.9978,CNNC,20.64828
72,-8.14731,-24.188034,CN(C)N,0.39894485
73,-6.6976037,-17.868717,CC(N)N,94.63145
74,-5.946742,-18.576893,CN(=O)=O,2.8413982
75,-7.881193,-3.4027324,[CH2]CCF,2.311367
76,-11.828574,-2.3378234,NCCO,27.863953
77,-12.918742,-1.628117,CCON,6.287384
78,-13.737664,-0.49968252,CC(N)O,63.38597
79,-22.453373,-5.3676343,OOC=O,0.6421658
80,-12.955261,-16.220398,FCC=O,5.3203144
81,-21.437267,-7.2683344,COOC,16.117672
82,-21.451399,-6.4160914,[H]OCCO[H],19.957634
83,-17.754005,-18.748032,CCS,23.756851
84,-21.520353,-11.290525,CSC,16.279882
85,-23.62656,-11.680932,ClC=C,1.5664682
86,-22.18224,-12.216027,FC(F)=C,21.206514
87,-39.23939,-11.647452,OCOO,0.39876842
88,-39.68152,-11.80066,ClC=O,0.5219598
89,4.999485,-11.12325,N#CCC#N,4.47983
90,5.633089,-10.189699,C1C=CC=C1,496.72803
91,-9.532457,-22.959774,C=CCC#N,37.98874
92,-7.097757,-22.841335,CC(=C)C#N,1.4333305
93,-41.20142,-3.742198,CC=CC#N,22.260403
94,-40.125954,-3.2907925,O1C=CC=C1,17.425507
95,-18.377556,-7.2953076,O=CCC#C,3.039854
96,-37.356995,-28.134918,N1C=CN=C1,5.5996723
97,-30.515043,23.263405,C1C2CCC12,466.8816
98,-18.035484,-44.245106,O1C=CN=C1,0.90508366
99,-16.121881,-45.576637,N#CC1CO1,2.629346
100,-42.3503,-31.942953,N1C=NC=N1,0.26095438
101,-43.025135,-33.483845,N1N=CC=N1,1.6314659
102,-44.761642,-24.719004,C1CC=CN1,61.277267
103,-54.471478,11.219396,CCCC#N,190.67117
104,-42.52408,-24.013895,C1CC=NC1,81.374054
105,-15.957949,-42.650356,FC(F)F,6.974475
106,-18.233185,-45.066586,OC(=O)C#C,0.68766975
107,-16.424314,-47.453304,O1C=NC=N1,0.99597764
108,-36.982048,-13.920225,O1C=NN=C1,1.0409565
109,-31.461515,23.789335,O1N=CC=N1,3.9214149
110,-40.327198,-2.4293025,N1N=CN=N1,0.9724015
111,-19.487558,-8.402765,CC(=C)C=O,8.6760845
112,-31.577309,-29.741192,CC(=O)C=C,5.881954
113,-29.440853,-30.729841,C=COC=C,7.3166027
114,-19.385809,-45.027756,C=CC1CO1,0.5206299
115,-38.074615,-33.476,CC=CC=O,82.68072
116,-36.146717,-31.615982,NCCC#N,8.7069435
117,-36.419487,-30.798595,C1CN=CN1,4.261715
118,-17.310463,-7.521453,CCC(C)=C,117.92908
119,-30.81998,-26.518757,OCCC#N,1.2214756
120,-38.39003,-27.933723,NC(=O)C=C,8.848667
121,-31.722685,-28.10372,CCN=C=O,7.3992577
122,-42.905468,-34.68111,O=C1CCN1,31.900715
123,-39.466145,-33.912273,C1CN=CO1,16.990747
124,-38.037533,-26.083769,N1NC=CN1,6.298744
125,-40.91388,-25.405972,O=CCC=O,1.247612
126,-17.806128,-4.163252,CC(=O)C=O,0.8069582
127,-42.03757,-24.539328,O=C1CCO1,27.933517
