,x,y,Smiles,peakcounter
0,-44.245647,-21.548141,C,4.0
1,16.872414,-6.330368,[C]#C,1.0
2,17.55319,-6.0419054,C#C,2.0
3,50.989166,17.758265,[C]=C,2.0
4,46.1739,16.012959,C#N,1.0
5,58.39261,16.12489,C=C,4.0
6,57.072224,18.317303,C=O,2.0
7,55.236225,18.629389,CN,3.0
8,58.699867,15.552085,CO,3.0
9,54.529366,19.096783,P,3.0
10,16.205414,32.19476,S,2.0
11,36.018982,35.269733,[CH2+]C#[C-],2.0
12,33.568375,32.75871,C=C=C,4.0
13,30.068054,34.538563,CC#C,4.0
14,37.768055,34.084064,CC#N,3.0
15,34.334667,31.615318,OC#C,1.0
16,36.018757,32.23453,CC=C,133.0
17,34.186104,31.31397,C[C]C,6.0
18,26.441097,35.938198,C1CN1,18.0
19,34.58555,34.624985,OC=C,13.0
20,31.48872,34.54526,NC=N,1.0
21,24.797268,41.913456,C[N]C,6.0
22,26.025112,34.857323,CCC,62.0
23,25.721199,36.095287,CN=O,3.0
24,25.664349,33.819836,NC=O,1.0
25,24.735527,37.69987,ON=C,2.0
26,21.97697,41.63961,CCN,17.0
27,23.655857,41.8461,CNC,6.0
28,24.162075,38.018932,OC=O,1.0
29,20.287327,41.44029,FC=C,30.0
30,19.30707,41.644394,CCO,17.0
31,20.806627,43.94252,CNN,3.0
32,20.512716,42.743362,CON,3.0
33,19.773275,44.17295,NCO,2.0
34,22.519201,44.745266,COO,3.0
35,31.911093,30.748438,OCO,2.0
36,32.93585,34.580917,CS,4.0
37,13.216822,32.61165,C=CC#N,3.0
38,17.180815,38.473564,O=CC#C,2.0
39,19.336647,40.481186,C=CC=C,133.0
40,8.066959,-9.547185,CCC#N,36.0
41,30.888664,47.627525,NCC#C,3.0
42,48.379314,37.231647,C=CN=C,14.0
43,44.68749,37.961014,NCC#N,2.0
44,9.109206,-11.109081,C=NN=C,4.0
45,21.240345,-19.510296,C1C[N]C1,112.0
46,-10.497368,-16.083158,CC=CC,328.0
47,12.442641,33.328556,CCC=C,364.0
48,7.622213,-0.67021495,CN=C=O,3.0
49,22.247581,-17.73875,OCC#N,2.0
50,22.413582,-17.14851,NCC=C,58.0
51,-4.915258,-42.831398,CCC=N,81.0
52,-6.677327,-43.490036,C1CNC1,138.0
53,63.01979,18.56181,[O]C([O])=C,2.0
54,18.84552,13.226169,CC(C)=O,6.0
55,9.778085,-3.256515,OCC=C,56.0
56,-17.381779,-23.565481,COC=C,17.0
57,9.23921,-0.36175826,CC(N)=N,3.0
58,6.4408836,-35.82006,NCC=O,9.0
59,10.480472,-4.6715155,CC(N)=O,3.0
60,-0.6507929,-10.553125,C\C=N\O,8.0
61,-39.237,-19.124454,CNC=O,4.0
62,13.042565,-16.09929,CN=NN,3.0
63,14.625357,-15.044229,CN(C)C,9.0
64,3.8818505,-11.89783,CC(O)=O,3.0
65,-11.67138,-8.711985,OCC=O,7.0
66,-11.861346,-9.380946,COC=O,4.0
67,-6.9066477,-24.408266,C1COO1,4.0
68,-11.367861,-4.4311666,CN=NO,3.0
69,-15.524392,-6.999288,NNC=O,1.0
70,-16.25967,-7.702643,NCCN,20.0
71,-11.491039,-16.9978,CNNC,6.0
72,-8.14731,-24.188034,CN(C)N,6.0
73,-6.6976037,-17.868717,CC(N)N,18.0
74,-5.946742,-18.576893,CN(=O)=O,3.0
75,-7.881193,-3.4027324,[CH2]CCF,6.0
76,-11.828574,-2.3378234,NCCO,12.0
77,-12.918742,-1.628117,CCON,40.0
78,-13.737664,-0.49968252,CC(N)O,17.0
79,-22.453373,-5.3676343,OOC=O,1.0
80,-12.955261,-16.220398,FCC=O,12.0
81,-21.437267,-7.2683344,COOC,6.0
82,-21.451399,-6.4160914,[H]OCCO[H],18.0
83,-17.754005,-18.748032,CCS,35.0
84,-21.520353,-11.290525,CSC,6.0
85,-23.62656,-11.680932,ClC=C,14.0
86,-22.18224,-12.216027,FC(F)=C,6.0
87,-39.23939,-11.647452,OCOO,2.0
88,-39.68152,-11.80066,ClC=O,1.0
89,4.999485,-11.12325,N#CCC#N,2.0
90,5.633089,-10.189699,C1C=CC=C1,80.0
91,-9.532457,-22.959774,C=CCC#N,65.0
92,-7.097757,-22.841335,CC(=C)C#N,15.0
93,-41.20142,-3.742198,CC=CC#N,58.0
94,-40.125954,-3.2907925,O1C=CC=C1,19.0
95,-18.377556,-7.2953076,O=CCC#C,4.0
96,-37.356995,-28.134918,N1C=CN=C1,3.0
97,-30.515043,23.263405,C1C2CCC12,363.0
98,-18.035484,-44.245106,O1C=CN=C1,5.0
99,-16.121881,-45.576637,N#CC1CO1,15.0
100,-42.3503,-31.942953,N1C=NC=N1,2.0
101,-43.025135,-33.483845,N1N=CC=N1,2.0
102,-44.761642,-24.719004,C1CC=CN1,179.0
103,-54.471478,11.219396,CCCC#N,246.0
104,-42.52408,-24.013895,C1CC=NC1,300.0
105,-15.957949,-42.650356,FC(F)F,4.0
106,-18.233185,-45.066586,OC(=O)C#C,1.0
107,-16.424314,-47.453304,O1C=NC=N1,2.0
108,-36.982048,-13.920225,O1C=NN=C1,2.0
109,-31.461515,23.789335,O1N=CC=N1,2.0
110,-40.327198,-2.4293025,N1N=CN=N1,1.0
111,-19.487558,-8.402765,CC(=C)C=O,23.0
112,-31.577309,-29.741192,CC(=O)C=C,15.0
113,-29.440853,-30.729841,C=COC=C,28.0
114,-19.385809,-45.027756,C=CC1CO1,151.0
115,-38.074615,-33.476,CC=CC=O,140.0
116,-36.146717,-31.615982,NCCC#N,12.0
117,-36.419487,-30.798595,C1CN=CN1,41.0
118,-17.310463,-7.521453,CCC(C)=C,199.0
119,-30.81998,-26.518757,OCCC#N,18.0
120,-38.39003,-27.933723,NC(=O)C=C,14.0
121,-31.722685,-28.10372,CCN=C=O,39.0
122,-42.905468,-34.68111,O=C1CCN1,4.0
123,-39.466145,-33.912273,C1CN=CO1,5.0
124,-38.037533,-26.083769,N1NC=CN1,2.0
125,-40.91388,-25.405972,O=CCC=O,18.0
126,-17.806128,-4.163252,CC(=O)C=O,4.0
127,-42.03757,-24.539328,O=C1CCO1,26.0
128,-3.9881368,25.525019,C1OC=CO1,4.0
129,49.977947,4.198274,N=NCN=N,2.0
130,53.580048,4.1433363,NN=CN=N,1.0
131,40.018143,41.13521,CCCC=O,38.0
132,51.563614,3.3527958,CC(C)C=O,33.0
133,51.32767,5.051419,CC1(C)CO1,6.0
134,37.77359,37.311134,CC(C)=NN,6.0
135,49.218906,5.32726,C1CNNC1,146.0
136,39.168167,40.22464,CN=C(C)O,6.0
137,39.24946,37.35631,NCCC=O,21.0
138,52.53649,5.2381,CC(=O)CN,5.0
139,52.733917,3.103501,NC1(O)CC1,4.0
140,59.99034,24.19644,COC(C)=N,6.0
141,58.30128,19.567911,CC(N)C=O,36.0
142,27.793259,45.35399,CC(C)=NO,6.0
143,14.652554,34.613132,C1COCN1,6.0
144,16.349693,37.59533,CNC(N)=N,3.0
145,5.5238447,-2.1037552,CN=C=S,3.0
146,19.746397,-27.884531,O=COC=O,2.0
147,20.501959,-21.751228,OC(=O)C=O,1.0
148,20.06704,-23.11701,CC(=O)CO,5.0
149,8.5799675,-37.132423,COC(C)=O,6.0
150,-28.545868,4.982536,C[C@@H](O)C=O,16.0
151,19.869467,-12.777441,OCCC=O,31.0
152,-11.395355,-18.920132,OCC1CO1,37.0
153,-18.743399,2.1570272,C1COCO1,6.0
154,-11.437626,-20.117863,CO[C-]=[O+]C,6.0
155,-38.046463,-10.560644,NCC(N)=O,2.0
156,-10.84815,-5.4690495,CC(=O)NN,2.0
157,-17.779728,-47.73685,CNC(O)=N,3.0
158,-37.75306,-35.363533,CN(C)N=O,6.0
159,-38.646152,-36.84247,CN=[N+](C)[O-],6.0
160,-43.0864,-25.424381,CC(N)=NO,3.0
161,-20.336277,0.48077387,COC(N)=N,3.0
162,-37.282196,-39.91936,CN(N)C=O,4.0
163,-34.935284,-38.092922,[NH3+]CCC=O,27.0
164,-34.713284,-39.391144,CCOCC,34.0
165,-27.611517,-41.44185,CC(N)CN,21.0
166,-34.120872,-40.331097,CCC(N)N,92.0
167,-19.338255,0.4736294,SCC=C,68.0
168,47.52017,4.838533,C\C=C\S,34.0
169,47.0445,3.4747295,CC(=O)NO,3.0
170,4.718743,6.6046505,CCON=O,17.0
171,1.4370372,-38.50271,CNC(O)=O,3.0
172,3.3708115,7.802035,NCC(O)=O,2.0
173,3.9282525,9.27947,CCN(=O)=O,34.0
174,20.218325,-13.897903,COC(N)=O,3.0
175,-8.545669,-2.3638234,CC(=O)ON,3.0
176,-43.382034,-35.757015,NC(=O)CO,2.0
177,-34.636383,-37.16027,C[N+](C)(C)[O-],9.0
178,-7.814365,-1.1781126,CC(O)CN,24.0
179,-1.7619306,-41.61756,COCCN,23.0
180,19.822422,-14.370031,CCC(N)O,98.0
181,-1.545373,-41.167316,C1COOO1,4.0
182,-26.114887,12.960919,CC(=O)OO,2.0
183,-22.437681,11.57728,OCC(O)=O,2.0
184,-31.043047,11.7468405,COC(O)=O,3.0
185,-27.997765,11.014595,ONC=NO,1.0
186,-27.374546,8.866723,COCCO,7.0
187,-56.14685,11.445441,C[C@H](O)CO,26.0
188,-26.93563,8.042022,C[C@@H](O)CO,26.0
189,-7.395521,18.428202,CCC(O)O,95.0
190,-8.199585,17.564287,C1=C=CC=C=C1,4.0
191,4.9567947,-40.02466,CC(S)=O,4.0
192,4.9567947,-40.02466,CC(C)S,27.0
193,-29.830328,5.101193,CCSC,19.0
194,-55.607346,10.840863,CCCS,30.0
195,-45.755314,3.6723309,ClCC=C,91.0
196,-21.829176,-3.6654966,CO[N+]([O-])=O,3.0
197,-33.033443,21.354681,NC(=O)CF,4.0
198,-33.6048,20.452063,NC(S)=O,1.0
199,-26.136595,2.8842804,NCCS,13.0
200,-27.100443,3.7569022,C[S+](C)C,15.0
201,-35.26874,3.9285982,OC(=O)CF,4.0
202,-34.02552,7.409576,N#CC=CC#N,2.0
203,-33.77466,8.568288,OC(S)=O,1.0
204,-33.727932,5.957438,C1=CC=CC=C1,6.0
205,-36.171806,5.198775,CC(O)S,19.0
206,-55.994217,9.482472,CS(C)=O,6.0
207,-26.98851,7.0384555,OCCS,19.0
208,-5.5115037,18.311993,NCCCl,20.0
209,-4.8792877,17.276379,O=CC12C3C1C23,4.0
210,-17.81132,-47.35295,C1=CN=CC=N1,8.0
211,-0.45355362,0.28339496,C1=CN=CN=C1,8.0
212,-5.2814407,-25.261095,C=C1N=CC=N1,4.0
213,4.4456186,-38.87678,C1=CC=NN=C1,21.0
214,1.5335207,-38.881287,CS(O)=O,3.0
215,-0.558927,6.887433,SCS,4.0
216,-34.54402,-6.593935,[SeH2],2.0
217,-54.01921,9.842466,C1=NC=NC=N1,3.0
218,-31.643148,-4.6328764,CN1C=CC=C1,26.0
219,-26.502846,-6.7221665,C=CCCC#N,311.0
220,-27.416239,-6.221485,C1CC=NC=C1,295.0
221,-27.360758,-7.158852,C1CN=CC=C1,243.0
222,19.065212,-11.764759,FC=C(F)F,6.0
223,-30.88614,-0.15049443,O=C1N=CC=N1,2.0
224,-30.249985,-0.07524773,O=C1C=CN=N1,4.0
225,-32.278427,-5.242656,C1=CN=NN=N1,4.0
226,-46.797516,-0.4846475,C=C\C=C/C=O,28.0
227,-53.117313,10.525154,CC1=CC=CO1,15.0
228,-10.443989,-36.99649,O=C1CCC=C1,189.0
229,-11.290121,-36.35451,C=CC(=O)C=C,4.0
230,63.694057,20.360529,CC1=NC=CN1,5.0
231,63.03481,19.391445,NC1=CC=CN1,3.0
232,61.56933,20.978153,C1C=NCN=C1,32.0
233,-0.38611537,-19.41995,C1NC=CC=N1,16.0
234,-45.417683,2.7037747,CN1C=CN=C1,6.0
235,-44.14855,1.7507325,N1NC=CC=C1,4.0
236,-43.251488,-0.6692468,N1OC=CC=C1,4.0
237,-41.71346,-1.0336138,NC1=CN=CN1,2.0
238,-45.696655,0.43113622,N=C1NC=CN1,2.0
239,-52.00091,7.881547,CCCCC#N,86.0
240,-39.698723,22.19213,C1CCN=CC1,436.0
241,-17.198477,-11.833119,Cl[CH]Cl,1.0
242,-34.531273,22.947252,CC(F)(F)F,12.0
243,-35.859955,23.493685,P1C=CC=C1,5.0
244,-35.034695,21.615944,O=CC=CC=O,24.0
245,-16.653032,-11.637947,OC1=CC(=O)C1,3.0
246,-3.4921944,-30.841911,O=C1CN=CN1,3.0
247,-15.334907,-11.32984,NC(=O)CC#N,2.0
248,-39.00698,22.853914,O=C1NNC=C1,4.0
249,-40.36975,22.226765,CC(=O)NC#N,3.0
250,-31.080755,-10.617879,N=C1NNC=N1,1.0
251,-15.076603,-17.181025,NN1C=NN=C1,2.0
252,-18.741184,-14.76807,NC1=NNN=C1,1.0
253,-35.048214,-14.383481,CC(=O)CC=C,63.0
254,-33.2818,25.932518,CC\C=C/C=O,44.0
255,-21.667755,-13.371389,O=C1CCCC1,347.0
256,-21.771235,-15.281001,C=CCCC=O,76.0
257,-32.714043,24.988594,CC1COC=C1,61.0
258,-19.716194,-16.111393,CC(=C)C(C)=O,24.0
259,-20.897753,-14.537752,CC(C)=CC=O,20.0
260,-16.732471,-23.782938,C\C=C\C(C)=O,29.0
261,-12.462247,-30.182596,CCC(=O)C=C,31.0
262,-46.921223,-29.759844,C\C=C(\C)C=O,29.0
263,-46.595314,-30.249203,C=C1CCCO1,304.0
264,-6.9861264,3.0137382,CN(C)CC#N,8.0
265,-31.134977,12.863391,NCC#CCN,4.0
266,-31.732231,13.282611,C[N+]1=CCCC1,298.0
267,-33.15062,10.309877,S1C=CC=C1,4.0
268,-33.20292,-13.558618,ClCCl,2.0
269,-31.252234,-14.004077,O=C1CCCN1,127.0
270,-32.727974,-14.672763,CC(C)(O)C#N,10.0
271,-30.531712,-17.268398,CC1=NCCO1,7.0
272,-32.929913,-16.08687,CC(=C)C(N)=O,12.0
273,-54.941093,8.990947,CC(=O)NC=C,16.0
274,-1.2994131,-14.452609,S1C=CN=C1,5.0
275,-1.2604762,-14.245201,[O-][N+]1=CC=NO1,2.0
276,-41.398968,-21.960396,CC(=O)OC=C,14.0
277,-47.333908,-9.66297,O=C1CCOC1,39.0
278,-52.310226,-8.243755,COC(=O)C=C,16.0
279,-47.170876,-9.837784,OCC#CCO,4.0
280,-52.39665,-8.422711,C=CCOC=O,112.0
281,-3.695444,23.038374,C1OC1C1CO1,94.0
282,-18.639896,-6.1012425,CC(C=O)C=O,49.0
283,-2.4391854,23.06605,CC(=O)CC=O,10.0
284,-31.199543,24.989723,NC1CNC1=O,14.0
285,-1.0630462,15.654844,OC1=NCCN1,37.0
286,-0.98816097,16.131512,O=C1CNCN1,4.0
287,-7.7532315,19.458988,S1C=CN=N1,2.0
288,-5.1361628,19.65627,S1C=NN=C1,2.0
289,-4.0278583,22.452047,C1COCC[N]1,27.0
290,-30.314781,-30.65796,CCC(O)C=C,63.0
291,-29.536097,-27.407385,CCC(C)C=O,61.0
292,-19.40108,-43.444386,CC(C)CC=O,40.0
293,-41.092667,-35.916573,CC\C=C/CO,109.0
294,-38.39003,-27.933723,CC(C)(O)C=C,17.0
295,-29.774055,-29.871477,CC[C@H](C)C=O,53.0
296,-29.977331,-27.70617,CCCC(C)=O,30.0
297,-41.221817,-36.24844,CCCCC=O,85.0
298,14.348758,36.632675,CC1CCCO1,372.0
299,13.731108,-15.335644,C1CNCCN1,7.0
300,4.4366117,-2.1801572,CC(C)C(N)=N,182.0
301,-0.20973305,-0.14911744,NN1CCCC1,394.0
302,-51.955776,7.2386665,C=CSC=C,28.0
303,44.082935,16.095995,C1CC=CS1,126.0
304,36.366753,28.57098,C[N+](C)(C)C=C,21.0
305,-44.218746,0.7382689,NC(=C)C(O)=O,4.0
306,-29.76735,-13.535004,CC(=N)C(O)=O,3.0
307,-38.614502,-4.7088237,O=C1CCON1,28.0
308,-6.079296,-25.360174,O=C1NCCO1,36.0
309,-2.648559,-43.922836,NC(=O)OC=C,14.0
310,-11.070717,-21.40667,OC(=N)C1CO1,15.0
311,8.496303,-36.534424,CN(C)C(C)=O,9.0
312,-2.9308093,-43.84642,C1COCCN1,78.0
313,20.343868,-27.4672,CCCC(O)=N,33.0
314,22.310518,-29.68438,CCNC(C)=O,20.0
315,20.155136,-35.20215,NCCCC=O,47.0
316,-9.53475,-15.819161,CCNC(N)=N,34.0
317,-2.2085993,-7.8606873,CC(C)CCN,53.0
318,6.121366,0.2869119,CCC(C)CN,64.0
319,7.4810576,-30.442432,CCCCCN,336.0
320,5.9054337,-31.445515,OC(=C)C(O)=O,4.0
321,11.336734,31.584394,O=C1OCCO1,3.0
322,5.6477375,4.5085487,OC(=O)CC=O,7.0
323,-17.565533,15.979025,OC(C=O)C=O,7.0
324,6.5555778,-30.05313,CC(=O)C(O)=O,3.0
325,6.6336737,-33.214787,ON=CC=NO,4.0
326,7.175171,-33.14817,C1COCCO1,8.0
327,-0.57673234,-33.44597,CC(O)C(C)=O,12.0
328,-1.189979,-7.3770976,CCC(=O)CO,19.0
329,-37.695187,-22.386253,OCC(O)C=C,126.0
330,46.982895,17.481869,C1COCOC1,199.0
331,53.305542,20.416485,CNC(=O)NC,6.0
332,58.077175,23.467072,CC(N)C(N)=O,17.0
333,7.3113956,-1.5865984,CN(C)C(N)=O,6.0
334,0.43579695,-5.0853295,CCNC(O)=N,34.0
335,-10.24512,7.7485723,COC(C)(C)C,9.0
336,-1.4430053,-35.14663,CCCC(C)O,83.0
337,19.53559,31.321878,CCCCCO,251.0
338,14.523257,32.26504,CC(C)C(C)O,42.0
339,20.747053,-20.88254,CCC(C)CO,60.0
340,21.42653,-11.767612,CCC(C)(C)O,23.0
341,30.47844,22.867252,CC(C)CCO,116.0
342,56.636753,29.25209,CC(C)(C)CO,11.0
343,50.71772,24.153292,COCC(C)C,338.0
344,51.516254,27.114956,CCCCOC,288.0
345,50.40106,25.427359,NCCCCN,222.0
346,31.166412,22.80387,CN(C)CCN,10.0
