,x,y,Smiles,MAE
0,4.288831,0.25754473,C,2578.6274
1,-1.7004331,-0.011921584,[C]#C,2.1908321
2,-0.15119873,-1.0124971,C#C,2.7080941
3,-2.0105364,1.2718565,[C]=C,1.8269665
4,-1.3490418,-0.6906794,C#N,5.0181265
5,1.118832,-0.77355546,C=C,119.23154
6,-3.1324806,2.8164108,C=O,3.7071838
7,3.6087716,-1.966169,CN,100.3454
8,-2.067249,2.8673978,CO,18.679255
9,-2.5150678,2.6254878,P,0.9616468
10,-2.5514302,2.6443446,S,0.30674326
11,-0.99526614,0.9930142,[CH2+]C#[C-],1.5874536
12,-0.6739872,-1.1975027,C=C=C,5.93108
13,0.09613909,1.2958531,CC#C,6.109874
14,0.08175135,2.069051,CC#N,8.302363
15,-1.4490737,-0.5913075,OC#C,4.9912996
16,1.6692365,-0.57076263,CC=C,61.910248
17,-2.1427367,1.9866159,C[C]C,8.302171
18,3.2246635,1.9933077,C1CN1,50.923286
19,-0.037143722,-0.73747665,OC=C,10.000032
20,-0.62263125,-0.21304087,NC=N,8.020243
21,-2.1771395,1.8940719,C[N]C,3.6136653
22,3.63699,-1.6847601,CCC,350.85825
23,0.16533194,2.1785672,CN=O,8.068841
24,-1.3233219,-0.41550207,NC=O,5.841262
25,-1.1556888,-0.81865567,ON=C,2.107224
26,2.5633898,-1.6673094,CCN,60.061028
27,3.8456817,-1.8406873,CNC,48.164505
28,-2.3335197,-0.16595082,OC=O,1.0025227
29,-0.4824445,-0.7379596,FC=C,7.7207394
30,2.2451432,-1.627229,CCO,31.336395
31,0.49536973,1.889672,CNN,14.942961
32,-0.19476835,1.9107354,CON,3.2142372
33,-2.6576955,3.4952726,NCO,42.9375
34,-0.45505425,1.9494642,COO,4.0948095
35,-2.645075,2.9778152,OCO,17.042683
36,-2.7418768,2.6018717,CS,3.721507
37,-0.41766798,-0.6046333,C=CC#N,9.244208
38,-1.570246,-0.50823575,O=CC#C,0.382308
39,0.54992247,-0.91862017,C=CC=C,4.0881653
40,1.8059504,-1.6135011,CCC#N,6.844614
41,-1.5466083,0.45755562,NCC#C,7.53092
42,-0.5066429,-0.9603571,C=CN=C,9.84598
43,-1.8073367,2.274657,NCC#N,7.1805515
44,-0.8926293,-1.2206234,C=NN=C,33.91723
45,4.2441955,0.7963763,C1C[N]C1,26.135803
46,1.4366357,-0.026718322,CC=CC,240.396
47,2.145732,-1.0636382,CCC=C,242.46638
48,-0.08926428,1.6534308,CN=C=O,6.6309166
49,-1.7475362,2.3098705,OCC#N,9.585015
50,1.4026235,-0.48979643,NCC=C,47.911972
51,2.179008,-1.4239126,CCC=N,21.831032
52,4.009275,0.54576916,C1CNC1,178.21527
53,-2.002725,0.30873612,[O]C([O])=C,1.3950398
54,-0.6904856,2.7245228,CC(C)=O,4.533243
55,1.2206051,-0.3008502,OCC=C,56.479507
56,0.25217012,0.620789,COC=C,6.610838
57,-0.6722528,2.5046072,CC(N)=N,3.5731916
58,-0.88724875,0.05448336,NCC=O,14.272516
59,-0.79588723,2.325249,CC(N)=O,6.2065077
60,0.4228625,-0.047838602,C\C=N\O,4.8797827
61,-0.07289792,0.9945395,CNC=O,4.7426605
62,0.16066034,2.057244,CN=NN,8.212978
63,1.6591482,4.134123,CN(C)C,14.542746
64,-0.8066807,2.1143122,CC(O)=O,4.4826546
65,-0.71780026,0.43793207,OCC=O,1.322093
66,-0.34026793,1.2469635,COC=O,2.276865
67,1.3780261,2.522209,C1COO1,8.229629
68,-0.0398666,1.9407351,CN=NO,6.715583
69,-1.5141128,-0.5124147,NNC=O,1.5707278
70,-2.6252718,3.7862685,NCCN,26.277401
71,0.73363775,2.3334112,CNNC,20.64828
72,-0.7438447,2.9971995,CN(C)N,0.39894485
73,1.0641366,-2.515832,CC(N)N,94.63145
74,-0.7606908,1.681203,CN(=O)=O,2.8413982
75,-1.9633318,1.2092929,[CH2]CCF,2.311367
76,-2.6028545,3.635627,NCCO,27.863953
77,1.936999,-1.6744837,CCON,6.287384
78,1.0076789,-2.2962267,CC(N)O,63.38597
79,-2.3965282,0.043756828,OOC=O,0.6421658
80,-0.9284365,-0.028135015,FCC=O,5.3203144
81,0.5243327,2.4036796,COOC,16.117672
82,-2.4506686,3.4418213,[H]OCCO[H],19.957634
83,2.0581505,-1.8132007,CCS,23.756851
84,-3.5769787,1.8790601,CSC,16.279882
85,-1.3533728,-0.23929377,ClC=C,1.5664682
86,-1.798645,0.12819171,FC(F)=C,21.206514
87,-2.216861,2.2503865,OCOO,0.39876842
88,-2.260366,-0.051842075,ClC=O,0.5219598
89,-0.6449278,1.6878049,N#CCC#N,4.47983
90,3.4554677,0.8759333,C1C=CC=C1,496.72803
91,0.98147315,-0.07924659,C=CCC#N,37.98874
92,-0.8238815,2.3771968,CC(=C)C#N,1.4333305
93,0.64119375,0.15638228,CC=CC#N,22.260403
94,-2.469412,-2.1198857,O1C=CC=C1,17.425507
95,-0.82157,-0.49259415,O=CCC#C,3.039854
96,-2.9862041,-1.8854477,N1C=CN=C1,5.5996723
97,4.167676,-0.27413777,C1C2CCC12,466.8816
98,-3.4219546,-1.3621414,O1C=CN=C1,0.90508366
99,1.4072486,2.5468752,N#CC1CO1,2.629346
100,-3.3542292,-1.2605399,N1C=NC=N1,0.26095438
101,-3.0993001,-1.3521588,N1N=CC=N1,1.6314659
102,3.6554112,0.9723944,C1CC=CN1,61.277267
103,3.137625,-1.4664749,CCCC#N,190.67117
104,4.0454817,0.8531542,C1CC=NC1,81.374054
105,-3.674583,0.84568894,FC(F)F,6.974475
106,-1.8117858,0.044473153,OC(=O)C#C,0.68766975
107,-3.436908,-1.093493,O1C=NC=N1,0.99597764
108,-3.3771174,-1.032868,O1C=NN=C1,1.0409565
109,-2.9262507,-1.4202974,O1N=CC=N1,3.9214149
110,-3.469662,-1.0415751,N1N=CN=N1,0.9724015
111,-1.083831,1.3552374,CC(=C)C=O,8.6760845
112,-0.024517708,0.3950697,CC(=O)C=C,5.881954
113,-0.19707854,-0.8641462,C=COC=C,7.3166027
114,1.3724958,-0.001158074,C=CC1CO1,0.5206299
115,0.57462764,-0.45412755,CC=CC=O,82.68072
116,0.2620929,1.2476541,NCCC#N,8.7069435
117,2.159013,2.040897,C1CN=CN1,4.261715
118,1.9081963,-1.7984922,CCC(C)=C,117.92908
119,0.23349625,1.4334563,OCCC#N,1.2214756
120,-0.48947155,-0.6894474,NC(=O)C=C,8.848667
121,1.590928,-1.5790584,CCN=C=O,7.3992577
122,1.6804093,2.3345628,O=C1CCN1,31.900715
123,1.4322585,2.0957098,C1CN=CO1,16.990747
124,-0.62229043,-2.9115298,N1NC=CN1,6.298744
125,-0.5778837,-0.44011316,O=CCC=O,1.247612
126,-1.0373551,1.4501973,CC(=O)C=O,0.8069582
127,1.4885784,2.360192,O=C1CCO1,27.933517
128,-0.28398564,0.58112615,C1OC=CO1,12.648247
129,-0.920094,0.7604626,N=NCN=N,1.6749036
130,-1.681599,-0.64775586,NN=CN=N,1.0345845
131,2.9653156,-1.2831926,CCCC=O,40.842224
132,2.85474,-0.3740539,CC(C)C=O,27.056103
133,0.51632404,4.00643,CC1(C)CO1,12.828255
134,-0.54339045,2.591479,CC(C)=NN,1.0704947
135,4.0997014,0.7975095,C1CNNC1,21.14975
136,-0.09235376,2.3747354,CN=C(C)O,2.060256
137,0.13228011,-0.33080435,NCCC=O,9.863325
138,-1.534111,2.477027,CC(=O)CN,1.8553934
139,2.2030418,3.6290102,NC1(O)CC1,43.09067
140,0.043456554,2.333295,COC(C)=N,3.0456686
141,0.6327935,-2.1578627,CC(N)C=O,11.101898
142,-0.63516194,2.5842886,CC(C)=NO,0.32064295
143,2.6184566,2.258814,C1COCN1,77.96051
144,0.6614514,2.1410046,CNC(N)=N,2.908598
145,-0.7106433,1.192428,CN=C=S,6.966776
146,-2.7965279,0.06879797,O=COC=O,0.26584506
147,-2.3531308,0.17869903,OC(=O)C=O,1.1340284
148,-1.4356602,2.6190817,CC(=O)CO,4.359542
149,0.0040990296,2.2524734,COC(C)=O,4.5562077
150,0.6841699,0.44002664,C[C@@H](O)C=O,15.112499
151,0.004676776,-0.27301452,OCCC=O,6.2720337
152,2.1645107,2.5696454,OCC1CO1,16.448303
153,1.9682516,3.0571792,C1COCO1,9.770111
154,0.5945706,2.2326002,CO[C-]=[O+]C,8.939768
155,-1.8331631,1.9535989,NCC(N)=O,2.2940044
156,-0.6964427,2.0545835,CC(=O)NN,4.584367
157,0.3132812,2.0970864,CNC(O)=N,3.09239
158,-0.45607668,2.2982404,CN(C)N=O,3.2989826
159,0.06341863,2.2584262,CN=[N+](C)[O-],3.9660997
160,-0.85169125,2.2630024,CC(N)=NO,1.1455512
161,-0.021243507,1.9292068,COC(N)=N,5.038721
162,-1.7749344,0.97253245,CN(N)C=O,0.7929001
163,2.1084921,-0.8177979,[NH3+]CCC=O,28.481728
164,2.096642,-1.7019331,CCOCC,10.56665
165,2.8035195,-0.52316463,CC(N)CN,91.08999
166,2.3998098,-2.2924213,CCC(N)N,48.98593
167,0.9064689,-0.37312078,SCC=C,42.79747
168,-0.33917096,0.2994428,C\C=C\S,7.513275
169,-0.88344127,1.9093766,CC(=O)NO,2.1334925
170,1.7296506,-1.6100063,CCON=O,14.560234
171,-0.12388804,1.6982063,CNC(O)=O,3.1091528
172,-1.8208988,1.8578455,NCC(O)=O,1.6082993
173,1.6364778,-1.7297026,CCN(=O)=O,5.0900307
174,-0.117698975,1.7452443,COC(N)=O,4.7378845
175,-0.86578727,1.5689434,CC(=O)ON,2.5119905
176,-1.7381727,2.152765,NC(=O)CO,3.4770045
177,-0.63430154,3.409333,C[N+](C)(C)[O-],0.52590656
178,2.1185799,-0.18030821,CC(O)CN,23.82661
179,0.7016793,1.5890536,COCCN,4.7577705
180,2.354698,-2.1424685,CCC(N)O,2.2814941
181,1.251954,2.712389,C1COOO1,2.7877474
182,-0.9242302,1.8887056,CC(=O)OO,2.703761
183,-1.7216133,1.9524323,OCC(O)=O,1.2151043
184,-0.23923472,1.7411795,COC(O)=O,3.5349264
185,-1.6898935,-0.44269055,ONC=NO,2.3055441
186,0.6904886,1.6774747,COCCO,7.3672695
187,1.3576318,1.2510021,C[C@H](O)CO,8.65287
188,1.4089278,0.93425065,C[C@@H](O)CO,13.906544
189,2.3118176,-1.9491003,CCC(O)O,30.830276
190,2.716326,1.534995,C1=C=CC=C=C1,16.619736
191,-1.3279192,0.9344019,CC(S)=O,0.6812973
192,1.7171453,0.35904425,CC(C)S,11.002514
193,-3.6274853,1.9543641,CCSC,7.6148415
194,3.09035,-1.4938198,CCCS,55.689186
195,0.5114253,-0.5976671,ClCC=C,28.536583
196,-0.39695263,1.4754264,CO[N+]([O-])=O,5.429147
197,-2.475073,1.5859951,NC(=O)CF,1.4169359
198,-2.127295,0.23077936,NC(S)=O,0.98525167
199,-2.89306,3.4053686,NCCS,30.353825
200,-3.6889675,1.7569239,C[S+](C)C,15.376699
201,-2.4087832,1.2738179,OC(=O)CF,3.1959925
202,-1.3385459,0.17046213,N#CC=CC#N,0.99113894
203,-2.1582787,0.2945531,OC(S)=O,0.99305725
