,x,y,Smiles,peakcounter
0,-7.5791993,7.5198107,C,4.0
1,-2.7959082,-3.144276,[C]#C,1.0
2,-5.2792106,-1.7794406,C#C,2.0
3,-0.3130367,-3.42183,[C]=C,2.0
4,-3.908138,-3.222594,C#N,1.0
5,-7.5088143,0.35839623,C=C,4.0
6,-0.34371865,-5.8467226,C=O,2.0
7,-12.09919,2.9564826,CN,3.0
8,1.3544827,-3.859831,CO,3.0
9,1.0451891,-4.323645,P,3.0
10,1.0589292,-4.3844895,S,2.0
11,-1.5405319,-1.1936737,[CH2+]C#[C-],2.0
12,-6.073079,-4.1371245,C=C=C,4.0
13,-0.8590513,1.6925479,CC#C,4.0
14,0.42740452,1.8813416,CC#N,3.0
15,-3.4088824,-3.1351101,OC#C,1.0
16,-7.9584937,0.18234661,CC=C,133.0
17,0.24957706,-3.4687207,C[C]C,6.0
18,-4.0365586,5.53128,C1CN1,18.0
19,-5.811542,-2.2073712,OC=C,13.0
20,-4.1201262,-2.1898928,NC=N,1.0
21,0.043571312,-3.5813646,C[N]C,6.0
22,-11.63437,3.0666547,CCC,62.0
23,0.4863419,2.1073282,CN=O,3.0
24,-3.9928906,-2.9971516,NC=O,1.0
25,-5.562949,-4.0426188,ON=C,2.0
26,-10.587016,0.81879914,CCN,17.0
27,-12.209623,3.2033083,CNC,6.0
28,-3.2380729,-4.501619,OC=O,1.0
29,-5.1625314,-2.3604891,FC=C,30.0
30,-10.576561,0.2057407,CCO,17.0
31,-0.33894467,2.361053,CNN,3.0
32,-0.4358459,0.5651069,CON,3.0
33,-1.384853,-4.8153653,NCO,2.0
34,0.5181392,0.8342203,COO,3.0
35,-0.49040663,-4.701676,OCO,2.0
36,0.63661253,-4.913112,CS,4.0
37,-5.445349,-2.5935283,C=CC#N,3.0
38,-3.7560637,-3.6946447,O=CC#C,2.0
39,-6.2338467,-1.2332442,C=CC=C,133.0
40,-10.609846,-0.88293064,CCC#N,36.0
41,-2.1814005,-3.1505687,NCC#C,3.0
42,-5.7950683,-3.2699335,C=CN=C,14.0
43,0.9839624,-2.90185,NCC#N,2.0
44,-6.044862,-4.2700524,C=NN=C,4.0
