,x,y,Smiles,peakcounter
0,0.9439096,-5.681446,C,4.0
1,-5.510835,0.025157087,[C]#C,1.0
2,0.9959417,-2.3865497,C#C,2.0
3,-6.2701006,2.7608275,[C]=C,2.0
4,-5.3050528,-0.29946166,C#N,1.0
5,3.1377258,-1.5320903,C=C,4.0
6,-4.313271,2.6916664,C=O,2.0
7,5.0725975,-0.51331866,CN,3.0
8,-2.8181827,3.2427814,CO,3.0
9,-2.1785026,6.218864,P,3.0
10,-2.1728144,6.236941,S,2.0
11,-2.2286675,1.1215129,[CH2+]C#[C-],2.0
12,-5.344525,-1.7843533,C=C=C,4.0
13,-0.8997926,4.1158795,CC#C,4.0
14,-0.9113621,3.6841447,CC#N,3.0
15,-4.6713023,-0.1796141,OC#C,1.0
16,3.0825462,-1.0666149,CC=C,133.0
17,-6.2574134,2.7934499,C[C]C,6.0
18,0.42967653,-3.2178013,C1CN1,18.0
19,-5.1486154,-1.9602332,OC=C,13.0
20,-0.67699844,-0.427667,NC=N,1.0
21,-4.0774636,2.0126276,C[N]C,6.0
22,5.5334897,-0.11142278,CCC,62.0
23,-0.9024803,3.7640784,CN=O,3.0
24,-0.91164535,-0.33600867,NC=O,1.0
25,-4.9925375,-1.2908831,ON=C,2.0
26,3.4407468,0.46764785,CCN,17.0
27,4.986247,-0.68704444,CNC,6.0
28,-4.108685,0.20702955,OC=O,1.0
29,-5.639704,-1.3775102,FC=C,30.0
30,3.2362947,0.5620317,CCO,17.0
31,-0.79085,1.087853,CNN,3.0
32,-1.813999,2.4645607,CON,3.0
33,-3.9553041,2.9441667,NCO,2.0
34,-1.5349156,2.6206846,COO,3.0
35,-3.8186815,2.6254714,OCO,2.0
36,-2.1997604,6.173354,CS,4.0
37,-4.8143067,-1.6095629,C=CC#N,3.0
38,-4.413693,-0.09706707,O=CC#C,2.0
39,-5.160604,-2.834881,C=CC=C,133.0
40,2.2448134,0.8303113,CCC#N,36.0
41,-3.5931134,0.9522151,NCC#C,3.0
42,-5.194968,-1.8128833,C=CN=C,14.0
43,-2.5257435,1.8300396,NCC#N,2.0
44,-5.142612,-1.5534747,C=NN=C,4.0
45,-0.29189855,-4.7339587,C1C[N]C1,112.0
46,2.8033047,-0.8975211,CC=CC,328.0
47,3.1594222,-0.5905125,CCC=C,364.0
48,-1.2056669,3.1667757,CN=C=O,3.0
49,-2.4655998,1.9432249,OCC#N,2.0
50,1.9263219,-1.3856738,NCC=C,58.0
51,2.8738346,0.25507343,CCC=N,81.0
52,0.12784483,-5.1952887,C1CNC1,138.0
53,-4.661253,1.0789192,[O]C([O])=C,2.0
54,-0.21723273,3.2234573,CC(C)=O,6.0
55,1.7869805,-1.6204904,OCC=C,56.0
56,0.4214776,-0.26219398,COC=C,17.0
57,-0.6398567,2.1529272,CC(N)=N,3.0
58,-0.90961146,-0.113081865,NCC=O,9.0
59,-0.7515663,2.3138251,CC(N)=O,3.0
60,0.81029344,0.32731166,C\C=N\O,8.0
61,-0.48867276,0.42345354,CNC=O,4.0
62,-1.0616966,3.1635177,CN=NN,3.0
63,-5.869641,4.3921504,CN(C)C,9.0
64,-0.75896657,2.327315,CC(O)=O,3.0
65,-0.7825638,-0.1750141,OCC=O,7.0
66,-1.5894345,4.281195,COC=O,4.0
67,-0.29417974,-1.8757317,C1COO1,4.0
68,-1.1076638,3.1821356,CN=NO,3.0
69,-3.350495,0.072947055,NNC=O,1.0
70,-3.9526157,3.117999,NCCN,20.0
71,-0.4878293,3.6897817,CNNC,6.0
72,-2.0037036,3.1851823,CN(C)N,6.0
73,2.6128278,2.7641027,CC(N)N,18.0
74,-0.9997717,2.6117435,CN(=O)=O,3.0
75,-4.3145466,2.000074,[CH2]CCF,6.0
76,-3.8520594,3.0779383,NCCO,12.0
77,2.4023073,0.6915287,CCON,40.0
78,2.4190748,2.6623094,CC(N)O,17.0
79,-3.9325147,0.119634196,OOC=O,1.0
80,-4.8323994,-0.5542601,FCC=O,12.0
81,-0.6150624,4.5468965,COOC,6.0
82,-3.7762423,3.0237942,[H]OCCO[H],18.0
83,3.353946,0.7095755,CCS,35.0
84,3.5120096,-4.1457734,CSC,6.0
85,-6.381137,0.71439785,ClC=C,14.0
86,-4.6499033,0.95507,FC(F)=C,6.0
87,-2.6780698,1.7495338,OCOO,2.0
88,-6.388645,1.0540141,ClC=O,1.0
89,-2.1072998,1.6734824,N#CCC#N,2.0
90,-2.056551,-4.7175703,C1C=CC=C1,80.0
91,1.5240853,-1.62077,C=CCC#N,65.0
92,-0.7835645,1.7949151,CC(=C)C#N,15.0
93,0.6299652,0.3790912,CC=CC#N,58.0
94,-2.4763162,-1.4537501,O1C=CC=C1,19.0
95,0.07492662,-1.0490886,O=CCC#C,4.0
96,-2.3117056,-1.0348768,N1C=CN=C1,3.0
97,1.000277,-5.528427,C1C2CCC12,363.0
98,-2.9341848,-0.9692947,O1C=CN=C1,5.0
99,-1.0539082,-2.223906,N#CC1CO1,15.0
100,-2.8001783,-0.7511434,N1C=NC=N1,2.0
101,-2.4714646,-0.6279114,N1N=CC=N1,2.0
102,-1.2037829,-4.603037,C1CC=CN1,179.0
103,4.475935,0.027990146,CCCC#N,246.0
104,-0.35693118,-5.224367,C1CC=NC1,300.0
105,1.9444219,-3.5912278,FC(F)F,4.0
106,-3.4489973,0.39214703,OC(=O)C#C,1.0
107,-3.108214,-0.78045744,O1C=NC=N1,2.0
108,-3.1777513,-0.7597978,O1C=NN=C1,2.0
109,-2.427732,-0.63214374,O1N=CC=N1,2.0
110,-3.0655832,-0.7075473,N1N=CN=N1,1.0
111,-0.69693774,1.4241047,CC(=C)C=O,23.0
112,0.10636902,0.5615872,CC(=O)C=C,15.0
113,-5.302404,-1.8784014,C=COC=C,28.0
114,1.3825148,-1.6211697,C=CC1CO1,151.0
115,1.1677786,-0.4164096,CC=CC=O,140.0
116,-1.9235567,1.1524966,NCCC#N,12.0
117,-0.9927251,-2.2660575,C1CN=CN1,41.0
118,2.002998,1.4162562,CCC(C)=C,199.0
119,-2.0197306,1.4019254,OCCC#N,18.0
120,-0.6882696,-0.1777711,NC(=O)C=C,14.0
121,2.047533,0.8264713,CCN=C=O,39.0
122,-0.93546915,-1.5941684,O=C1CCN1,4.0
123,-1.1771511,-2.2027125,C1CN=CO1,5.0
124,-2.6684928,-3.420024,N1NC=CN1,2.0
125,0.23527932,-1.017882,O=CCC=O,18.0
