,x,y,Smiles,MAE
0,-24.42345,-46.594433,CNC(=O)C1=CNC=CC1=O,0.84895325
1,-16.210249,27.765009,CC(O)C(N)CO,76.134735
2,44.745205,-35.351387,CC(C(O)CC(=O)OC(CC([O-])=O)C[N+](C)(C)C)C(O)=O,4.411064
3,-34.86326,51.093155,OCC1OC(C(O)C(O)C1O)C1=C(O)C2=C(OC(CC2=O)C2=CC=C(O)C=C2)C(C2OC(CO)C(O)C(O)C2O)=C1O,35.529457
4,44.587196,-38.18289,C[N+](C)(C)C[C@@H](CC([O-])=O)OC(=O)CCC(O)=O,24.46035
5,-30.448437,-31.56526,CC(O)C(=O)ON1C(=O)NC2=C(NC(=O)N2)C1=O,1.3176041
6,-11.614876,-25.079683,CC(=O)NNC(C)=O,0.07113552
7,-21.90134,51.46905,OCC1OC(OCCC2=CC(O)=CC=C2)C(O)C(O)C1O,8.99704
8,7.961951,-49.218334,N[C@@H](CCC(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O)C(O)=O,22.637306
9,43.098103,-20.940815,CCC=CCC1C(O)CC(=O)C1C=CC(O)CC=CCC=CCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C,42.518036
10,-27.321867,47.71685,CC1OC(OC2=C(OC3=CC(OC4OC(CO)C(O)C(O)C4O)=CC(O)=C3C2=O)C2=CC=C(O)C=C2)C(OC2OC(COC(=O)\C=C\C3=CC=C(O)C=C3)C(O)C(O)C2O)C(O)C1O,52.592056
11,-26.710745,-51.968006,O1C=CC=C1,1.4495564
12,-44.864815,6.205442,CC(=O)OC(COP(O)(=O)O[C@@H]1[C@H](O)[C@H](OP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@H]1O)OC(C)=O,17.775208
13,-2.9571505,51.267376,CC(C)CC(=O)OC1OC=C(COC2OC(CO)C(O)C(O)C2O)C2CC(O)C(O)(CO)C12,15.726608
14,-19.552967,60.07715,OCC1OC(CO)(OCC2OC(CO)(OCC3OC(O)(CO)C(O)C3O)C(O)C2O)C(O)C1O,42.065384
15,-8.523136,-57.41623,OC(=O)C1=CNC2=CC=CC=C12,18.753435
16,-22.758732,6.260461,CC[N+]1([O-])C=C(C(O)=O)C(=O)C2=CC(F)=C(C=C12)N1CCN(C)CC1,17.401749
17,-2.4012296,-61.702057,CC(O)=NNC1=CC=CC=C1,12.809919
18,-5.489527,-3.8673568,CC(=O)OCC1=C(N2[C@H](SC1)[C@H](N=C(O)CCCC(=O)C(O)=O)C2=O)C(O)=O,22.188728
19,-13.965533,-11.818873,ClC(Cl)Cl,1.0838337
20,-46.20323,2.787252,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=C(F)C(=O)NC1=O,12.959511
21,15.94338,8.828707,CS(=O)CCCCN=C(S)SCC(N)C(O)=NCC(O)=O,18.785858
22,3.1741807,27.977057,CC1(C)[C@H]2C[C@H](O)[C@](C)(C2)C1=O,17.75264
23,-16.359718,-16.234745,CC=NC(N)=S,0.6972542
24,-3.310531,-56.506306,OC(=O)CNC1=CC=C(O)C=C1,8.391676
25,-19.30201,29.64112,COC1=C(O)C=CC(=C1)C(O)C(CO)OC1OC(CO)C(O)C(O)C1O,26.136871
26,-47.75965,-20.437347,OC(=O)C1=CC(OS(O)(=O)=O)=C(O)C=C1,2.3434553
27,31.038141,26.366837,NC(=O)C1CCCN1C(=O)C(CC1=CN=CN1)NC(=O)C1CCC(=O)O1,11.085876
28,-51.242233,-26.791908,CCN(CC)C1=CC=C(C=C1)C(=C1C=CC(C=C1)=[N+](CC)CC)C1=C(C=C(C=C1)S(O)(=O)=O)S(O)(=O)=O,116.918
29,-52.184097,-22.953773,OC(=O)CC(NC(=O)C1=CN=C(CNS(=O)(=O)C2=CC=CC(=C2)C(O)=O)C=C1)C=O,6.95615
30,-9.74979,-55.855278,COC1=CC=C2NC=CC2=C1,15.997
31,-4.8832817,-24.135035,OCOC(O)=O,1.0653377
32,62.88796,-15.146096,CCCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C,31.502563
33,16.546698,7.248861,NC(CCS)S(O)=O,7.4673767
34,13.522745,-11.545,N[C@@H](CCONC(N)=N)C(O)=O,9.958595
35,29.323381,33.405064,OC1CNC(C1)C(=O)N1CCCC1C(O)=O,110.963165
36,32.749336,32.311943,O=NN1CCCC1C1=CN=CC=C1,59.568756
37,-9.135221,-43.52057,COC1=C(O)C=C2C3CC4=CC(O)=C(O)C=C4[N+]3(C)CCC2=C1,1.3925667
38,32.629776,21.259205,CCC(C)C1NC(=O)C(CC2=CC=C(O)C=C2)N(C)C(=O)CCCSCC(NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC1=O)C(=O)N1CCCC1C(=O)NC(CC(C)C)C(=O)NCC(N)=O,196.8899
39,22.372002,51.953747,OC(=O)C1CC(CP(O)(O)=O)CCN1,116.37302
40,35.274765,-4.7905016,CC(C)C(N)CC(O)=O,191.56104
41,-58.395584,11.390159,CN(CCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1)[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O,25.949158
42,-1.8532996,-3.535955,[H][C@](N)(CCC(O)=N[C@@]([H])(CS[C@@]1([H])C=CC2=CC=CC=C2[C@]1([H])O)C(O)=NCC(O)=O)C(O)=O,8.200157
43,41.327934,-22.199156,CC(O)CC=C(C)C(N)=O,48.50537
44,59.77776,16.98277,COC1=CC(\C=C/C(=O)N(CCCN)CCCCNCCCN)=CC(OC)=C1O,48.623657
45,16.774994,8.2806,CP(O)(=O)CCC(N)C(O)=O,18.19814
46,19.738512,33.437157,O=C1CCC2=C1NCCC2,41.224335
