,x,y,Smiles,peakcounter
0,-13.305451,-14.99513,CNC(=O)C1=CNC=CC1=O,9.0
1,0.3788673,7.774641,CC(O)C(N)CO,138.0
2,19.332111,-12.199792,CC(C(O)CC(=O)OC(CC([O-])=O)C[N+](C)(C)C)C(O)=O,55.0
3,-9.312936,20.661818,OCC1OC(C(O)C(O)C1O)C1=C(O)C2=C(OC(CC2=O)C2=CC=C(O)C=C2)C(C2OC(CO)C(O)C(O)C2O)=C1O,136.0
4,19.807188,-13.017909,C[N+](C)(C)C[C@@H](CC([O-])=O)OC(=O)CCC(O)=O,62.0
5,-10.311252,-18.274092,CC(O)C(=O)ON1C(=O)NC2=C(NC(=O)N2)C1=O,16.0
6,-2.7794368,-14.689716,CC(=O)NNC(C)=O,5.0
7,-6.480002,21.267199,OCC1OC(OCCC2=CC(O)=CC=C2)C(O)C(O)C1O,94.0
8,-9.824583,-5.2734785,N[C@@H](CCC(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O)C(O)=O,135.0
9,18.017025,-7.8745832,CCC=CCC1C(O)CC(=O)C1C=CC(O)CC=CCC=CCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C,548.0
10,-7.242712,19.343708,CC1OC(OC2=C(OC3=CC(OC4OC(CO)C(O)C(O)C4O)=CC(O)=C3C2=O)C2=CC=C(O)C=C2)C(OC2OC(COC(=O)\C=C\C3=CC=C(O)C=C3)C(O)C(O)C2O)C(O)C1O,229.0
11,-17.17473,-18.065733,O1C=CC=C1,19.0
12,-16.622791,4.190054,CC(=O)OC(COP(O)(=O)O[C@@H]1[C@H](O)[C@H](OP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@H]1O)OC(C)=O,83.0
13,3.4370513,19.023039,CC(C)CC(=O)OC1OC=C(COC2OC(CO)C(O)C(O)C2O)C2CC(O)C(O)(CO)C12,182.0
14,-3.078282,20.95119,OCC1OC(CO)(OCC2OC(CO)(OCC3OC(O)(CO)C(O)C3O)C(O)C2O)C(O)C1O,81.0
15,-14.78691,-10.887486,OC(=O)C1=CNC2=CC=CC=C12,46.0
16,-10.502125,0.2430172,CC[N+]1([O-])C=C(C(O)=O)C(=O)C2=CC(F)=C(C=C12)N1CCN(C)CC1,115.0
17,-14.642251,-8.658015,CC(O)=NNC1=CC=CC=C1,7.0
18,7.1464295,-0.7487105,CC(=O)OCC1=C(N2[C@H](SC1)[C@H](N=C(O)CCCC(=O)C(O)=O)C2=O)C(O)=O,53.0
19,-2.508742,-9.187851,ClC(Cl)Cl,1.0
20,-15.780122,4.6980906,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=C(F)C(=O)NC1=O,58.0
21,7.440192,3.2657733,CS(=O)CCCCN=C(S)SCC(N)C(O)=NCC(O)=O,181.0
22,4.0516133,14.802015,CC1(C)[C@H]2C[C@H](O)[C@](C)(C2)C1=O,41.0
23,-2.734867,-11.598266,CC=NC(N)=S,16.0
24,-13.46086,-9.16157,OC(=O)CNC1=CC=C(O)C=C1,6.0
25,-1.7017505,11.135109,COC1=C(O)C=CC(=C1)C(O)C(CO)OC1OC(CO)C(O)C(O)C1O,98.0
26,-19.966993,-3.7022774,OC(=O)C1=CC(OS(O)(=O)=O)=C(O)C=C1,12.0
27,14.291627,9.173694,NC(=O)C1CCCN1C(=O)C(CC1=CN=CN1)NC(=O)C1CCC(=O)O1,420.0
28,-17.450905,-5.159745,CCN(CC)C1=CC=C(C=C1)C(=C1C=CC(C=C1)=[N+](CC)CC)C1=C(C=C(C=C1)S(O)(=O)=O)S(O)(=O)=O,208.0
29,-16.973564,-3.5909379,OC(=O)CC(NC(=O)C1=CN=C(CNS(=O)(=O)C2=CC=CC(=C2)C(O)=O)C=C1)C=O,40.0
30,-14.943172,-11.525754,COC1=CC=C2NC=CC2=C1,6.0
31,0.48801747,-14.546291,OCOC(O)=O,2.0
